,date,num,start,end
0,2021-08-02 00:00:00,1,11:05:00,15:00:00
1,2021-08-04 00:00:00,1,11:55:00,13:20:00
2,2021-08-05 00:00:00,1,8:30:00,10:35:00
3,2021-08-05 00:00:00,2,11:25:00,15:00:00
4,2021-08-06 00:00:00,1,8:50:00,9:25:00
5,2021-08-06 00:00:00,2,10:20:00,12:45:00
6,2021-08-09 00:00:00,1,9:45:00,12:35:00
7,2021-08-10 00:00:00,1,10:50:00,11:45:00
8,2021-08-12 00:00:00,1,10:30:00,11:10:00
9,2021-08-16 00:00:00,1,9:05:00,11:00:00
10,2021-08-16 00:00:00,2,13:45:00,15:00:00
11,2021-08-19 00:00:00,1,13:00:00,14:35:00
12,2021-08-20 00:00:00,1,8:30:00,9:00:00
13,2021-08-23 00:00:00,1,8:30:00,10:00:00
14,2021-08-23 00:00:00,2,10:40:00,11:15:00
15,2021-08-23 00:00:00,3,12:00:00,13:10:00
16,2021-08-24 00:00:00,1,8:30:00,10:10:00
17,2021-08-24 00:00:00,2,10:40:00,14:25:00
18,2021-08-25 00:00:00,1,9:55:00,13:30:00
19,2021-08-26 00:00:00,1,08:30:00,09:10:00
20,2021-08-26 00:00:00,2,10:45:00,12:00:00
21,2021-08-26 00:00:00,3,13:35:00,14:50:00
22,2021-08-30 00:00:00,1,10:05:00,10:55:00
23,2021-09-03 00:00:00,1,11:00:00,11:45:00
24,2021-09-03 00:00:00,2,12:35:00,13:25:00
25,2021-09-08 00:00:00,1,10:50:00,11:20:00
26,2021-09-08 00:00:00,2,12:25:00,13:05:00
27,2021-09-09 00:00:00,1,08:30:00,10:00:00
28,2021-09-09 00:00:00,2,10:45:00,11:15:00
29,2021-09-09 00:00:00,3,13:40:00,15:00:00
30,2021-09-10 00:00:00,1,09:35:00,11:20:00
31,2021-09-10 00:00:00,2,12:15:00,12:45:00
32,2021-09-13 00:00:00,1,11:45:00,15:00:00
33,2021-09-14 00:00:00,1,10:10:00,11:05:00
34,2021-09-14 00:00:00,2,12:20:00,13:55:00
35,2021-09-16 00:00:00,1,09:15:00,11:20:00
36,2021-09-16 00:00:00,2,12:05:00,13:10:00
37,2021-09-17 00:00:00,1,11:00:00,11:45:00
38,2021-09-17 00:00:00,2,12:55:00,14:00:00
39,2021-09-20 00:00:00,1,12:00:00,12:50:00
40,2021-09-20 00:00:00,2,14:15:00,15:00:00
41,2021-09-21 00:00:00,1,10:05:00,14:45:00
42,2021-09-22 00:00:00,1,11:00:00,11:45:00
43,2021-09-22 00:00:00,2,12:40:00,13:40:00
44,2021-09-24 00:00:00,1,08:30:00,12:15:00
45,2021-09-28 00:00:00,1,11:45:00,12:30:00
46,2021-09-29 00:00:00,1,10:30:00,11:20:00
47,2021-09-29 00:00:00,2,12:30:00,13:35:00
48,2021-09-30 00:00:00,1,08:45:00,12:15:00
49,2021-09-30 00:00:00,2,12:50:00,13:40:00
50,2021-10-01 00:00:00,1,08:30:00,09:10:00
51,2021-10-01 00:00:00,2,10:00:00,13:25:00
52,2021-10-04 00:00:00,1,08:30:00,09:00:00
53,2021-10-04 00:00:00,2,10:45:00,12:00:00
54,2021-10-07 00:00:00,1,09:15:00,11:20:00
55,2021-10-07 00:00:00,2,13:00:00,14:15:00
56,2021-10-11 00:00:00,1,10:00:00,10:30:00
57,2021-10-12 00:00:00,1,12:05:00,12:50:00
58,2021-10-15 00:00:00,1,10:00:00,10:30:00
59,2021-10-15 00:00:00,2,11:30:00,13:00:00
60,2021-10-19 00:00:00,1,09:15:00,11:30:00
61,2021-10-20 00:00:00,1,08:30:00,13:30:00
62,2021-10-21 00:00:00,1,08:30:00,09:00:00
63,2021-10-21 00:00:00,2,10:45:00,14:45:00
64,2021-10-22 00:00:00,1,10:50:00,12:20:00
65,2021-10-22 00:00:00,2,13:20:00,15:00:00
66,2021-10-25 00:00:00,1,12:05:00,13:05:00
67,2021-10-27 00:00:00,1,09:30:00,09:32:00
68,2021-10-27 00:00:00,2,11:45:00,13:05:00
69,2021-10-27 00:00:00,3,13:35:00,14:05:00
70,2021-10-28 00:00:00,1,11:20:00,13:20:00
71,2021-10-28 00:00:00,2,14:00:00,15:00:00
72,2021-10-29 00:00:00,1,09:30:00,13:05:00
73,2021-11-01 00:00:00,1,11:35:00,15:00:00
74,2021-11-02 00:00:00,1,08:30:00,13:30:00
75,2021-11-03 00:00:00,1,08:30:00,09:20:00
76,2021-11-03 00:00:00,2,11:15:00,12:15:00
77,2021-11-05 00:00:00,1,09:10:00,10:40:00
78,2021-11-05 00:00:00,2,11:15:00,12:05:00
79,2021-11-10 00:00:00,1,10:00:00,10:30:00
80,2021-11-10 00:00:00,2,13:35:00,15:00:00
81,2021-11-11 00:00:00,1,08:30:00,09:15:00
82,2021-11-11 00:00:00,2,11:20:00,13:20:00
83,2021-11-16 00:00:00,1,09:35:00,11:30:00
84,2021-11-17 00:00:00,1,12:40:00,15:00:00
85,2021-11-18 00:00:00,1,11:05:00,11:35:00
86,2021-11-18 00:00:00,2,12:00:00,13:40:00
87,2021-11-22 00:00:00,1,09:00:00,10:40:00
88,2021-11-22 00:00:00,2,12:00:00,12:35:00
89,2021-11-23 00:00:00,1,09:15:00,13:30:00
90,2021-11-29 00:00:00,1,10:45:00,11:50:00
91,2021-11-30 00:00:00,1,12:15:00,14:45:00
92,2021-12-02 00:00:00,1,10:35:00,11:30:00
93,2021-12-06 00:00:00,1,08:30:00,13:40:00
94,2021-12-06 00:00:00,2,14:05:00,15:00:00
95,2021-12-07 00:00:00,1,11:40:00,12:05:00
96,2021-12-09 00:00:00,1,08:50:00,09:35:00
97,2021-12-09 00:00:00,2,12:30:00,13:20:00
98,2021-12-14 00:00:00,1,11:00:00,13:30:00
99,2021-12-15 00:00:00,1,10:45:00,14:20:00
100,2021-12-17 00:00:00,1,09:20:00,10:00:00
101,2021-12-17 00:00:00,2,10:55:00,11:35:00
102,2021-12-17 00:00:00,3,13:10:00,14:05:00
103,2021-12-20 00:00:00,1,10:00:00,10:35:00
104,2021-12-20 00:00:00,2,10:45:00,14:00:00
105,2021-12-21 00:00:00,1,09:00:00,12:15:00
106,2021-12-21 00:00:00,2,13:05:00,15:00:00
107,2021-12-22 00:00:00,1,08:50:00,09:30:00
108,2021-12-22 00:00:00,2,10:05:00,11:25:00
109,2021-12-22 00:00:00,3,12:45:00,14:00:00
110,2021-12-23 00:00:00,1,10:10:00,11:30:00
111,2021-12-23 00:00:00,2,13:45:00,14:00:00
112,2021-12-27 00:00:00,1,09:00:00,10:30:00
113,2021-12-27 00:00:00,2,10:35:00,10:55:00
114,2021-12-27 00:00:00,3,12:20:00,12:45:00
115,2021-12-27 00:00:00,4,13:45:00,15:00:00
116,2021-12-29 00:00:00,1,11:15:00,12:50:00
117,2021-12-29 00:00:00,2,13:40:00,15:00:00
118,2021-12-30 00:00:00,1,08:45:00,09:45:00
119,2021-12-30 00:00:00,2,10:30:00,12:35:00
120,2021-12-31 00:00:00,1,10:05:00,10:30:00
121,2022-01-03 00:00:00,1,08:50:00,11:30:00
122,2022-01-04 00:00:00,1,10:30:00,11:00:00
123,2022-01-05 00:00:00,1,08:30:00,09:15:00
124,2022-01-10 00:00:00,1,12:15:00,13:05:00
125,2022-01-10 00:00:00,2,13:45:00,15:00:00
126,2022-01-11 00:00:00,1,09:00:00,14:05:00
127,2022-01-12 00:00:00,1,09:30:00,11:45:00
128,2022-01-12 00:00:00,2,12:25:00,13:20:00
129,2022-01-12 00:00:00,3,13:45:00,15:00:00
130,2022-01-13 00:00:00,1,10:00:00,11:05:00
131,2022-01-13 00:00:00,2,11:55:00,13:05:00
132,2022-01-14 00:00:00,1,11:00:00,12:35:00
